name,filter_type_two,ABV,color,image
올드 패션드,short,32.7,ed8a37,https://qualla-image.s3.ap-northeast-2.amazonaws.com/cocktail/standard/올드 패션드.jpg
오르가즘,short,31.4,daa061,https://qualla-image.s3.ap-northeast-2.amazonaws.com/cocktail/standard/오르가즘.jpg
페인킬러,long,10.0,be9b64,https://qualla-image.s3.ap-northeast-2.amazonaws.com/cocktail/standard/페인킬러.jpg
피나 콜라다,long,15.4,e6dba5,https://qualla-image.s3.ap-northeast-2.amazonaws.com/cocktail/standard/피나 콜라다.jpg
라모스 피즈,long,11.2,dbc6b4,https://qualla-image.s3.ap-northeast-2.amazonaws.com/cocktail/standard/라모스 피즈.jpg
러스티 네일,short,40.0,d99c05,https://qualla-image.s3.ap-northeast-2.amazonaws.com/cocktail/standard/러스티 네일.jpg
샹그리아,long,12.3,5c1b1e,https://qualla-image.s3.ap-northeast-2.amazonaws.com/cocktail/standard/샹그리아.jpg
스크류드라이버,long,13.3,e7b05d,https://qualla-image.s3.ap-northeast-2.amazonaws.com/cocktail/standard/스크류드라이버.jpg
씨 브리즈,long,8.4,891f27,https://qualla-image.s3.ap-northeast-2.amazonaws.com/cocktail/standard/씨 브리즈.jpg
섹스온더비치,long,14.3,ac613d,https://qualla-image.s3.ap-northeast-2.amazonaws.com/cocktail/standard/섹스온더비치.jpg
사이드 카,short,35.6,a3481b,https://qualla-image.s3.ap-northeast-2.amazonaws.com/cocktail/standard/사이드 카.jpg
실버 불렛,short,40.0,c47c09,https://qualla-image.s3.ap-northeast-2.amazonaws.com/cocktail/standard/실버 불렛.jpg
싱가포르 슬링,long,11.2,d0ae68,https://qualla-image.s3.ap-northeast-2.amazonaws.com/cocktail/standard/싱가포르 슬링.jpg
데킬라 선라이즈,long,12.0,dda159,https://qualla-image.s3.ap-northeast-2.amazonaws.com/cocktail/standard/데킬라 선라이즈.jpg
보드카 마티니,short,35.3,ffffcc,https://qualla-image.s3.ap-northeast-2.amazonaws.com/cocktail/standard/보드카 마티니.jpg
화이트 러시안,short,22.5,76797e,https://qualla-image.s3.ap-northeast-2.amazonaws.com/cocktail/standard/화이트 러시안.jpg
꿀주,shot,15.8,f28e1c,https://qualla-image.s3.ap-northeast-2.amazonaws.com/cocktail/standard/꿀주.jpg
에너자이저주,long,5.7,5b357f,https://qualla-image.s3.ap-northeast-2.amazonaws.com/cocktail/standard/에너자이저주.jpg
고진감래주,shot,6.3,c8781d,https://qualla-image.s3.ap-northeast-2.amazonaws.com/cocktail/standard/고진감래주.jpg
한라토닉,shot,5.7,ffffff,https://qualla-image.s3.ap-northeast-2.amazonaws.com/cocktail/standard/한라토닉.jpg
로이 로저스,long,0.0,413125,https://qualla-image.s3.ap-northeast-2.amazonaws.com/cocktail/standard/로이 로저스.jpg
셜리 템플,short,0.0,f7c473,https://qualla-image.s3.ap-northeast-2.amazonaws.com/cocktail/standard/셜리 템플.jpg
버진 피나 콜라다,long,0.0,e2d799,https://qualla-image.s3.ap-northeast-2.amazonaws.com/cocktail/standard/버진 피나 콜라다.jpg
